PRECINCT,YEAR,RACE,PRECINCT_TURNOUT,PRECINCT_DEM,ALL_TURNOUT,ALL_DEM
20,2019,VA Senate,0.416767424218725,1.0,0.37,0.9617854594466028
20,2020,President,1.184521027405631,0.9539702106731888,0.79,0.9267225408028231
20,2021,Governor,0.7406860822181699,0.831335286058732,0.62,0.8313795903429819
20,2022,House,0.7039990197730162,0.7422027290448343,0.56,0.7904513531443735
21,2017,Governor,0.5463564567471237,0.7753178389084203,0.59,0.8240047490974292
21,2018,US Senate,0.6414023243993741,0.8256572999668499,0.71,0.8602390375334327
21,2019,VA Senate,0.33199857783285647,1.0,0.37,0.9617854594466028
21,2020,President,0.5426726274009811,0.9306526262667864,0.79,0.9267225408028231
21,2021,Governor,0.5816734423186729,0.8061780310775833,0.62,0.8313795903429819
21,2022,House,0.5400694418195269,0.7581187010078387,0.56,0.7904513531443735
22,2017,Governor,0.6881178817823521,0.8308832609193241,0.59,0.8240047490974292
22,2018,US Senate,0.7858425969587295,0.8621427539449181,0.71,0.8602390375334327
22,2019,VA Senate,0.400611300878246,1.0,0.37,0.9617854594466028
22,2020,President,0.7567649114420804,0.9067826925015192,0.79,0.9267225408028231
22,2021,Governor,0.6696876213288712,0.8338893965982834,0.62,0.8313795903429819
22,2022,House,0.6472753628716932,0.8052805280528053,0.56,0.7904513531443735
23,2017,Governor,0.6714493872072327,0.8370300785569879,0.59,0.8240047490974292
23,2018,US Senate,0.7573376126981258,0.8654860517540328,0.71,0.8602390375334327
23,2019,VA Senate,0.5166543898442754,0.8525678024679102,0.37,0.9617854594466028
23,2020,President,0.8292757604139037,0.9105783654456768,0.79,0.9267225408028231
23,2021,Governor,0.7091775220325948,0.8357245225574199,0.62,0.8313795903429819
23,2022,House,0.6588588759179834,0.8111587982832618,0.56,0.7904513531443735
24,2017,Governor,0.6116492267585666,0.8488549227608619,0.59,0.8240047490974292
24,2018,US Senate,0.7041690881526672,0.8777060318715807,0.71,0.8602390375334327
24,2019,VA Senate,0.43239849132975255,0.8794410063347484,0.37,0.9617854594466028
24,2020,President,0.797979246949825,0.9401644115595827,0.79,0.9267225408028231
24,2021,Governor,0.6499995170549522,0.8462449155616172,0.62,0.8313795903429819
24,2022,House,0.6089307541657011,0.8152946092770581,0.56,0.7904513531443735
25,2017,Governor,0.6253796828828645,0.8208586654342542,0.59,0.8240047490974292
25,2018,US Senate,0.7803446543033236,0.8477686430211416,0.71,0.8602390375334327
25,2019,VA Senate,0.3978093779835911,1.0,0.37,0.9617854594466028
25,2020,President,0.8560815683921131,0.9310578170397137,0.79,0.9267225408028231
25,2021,Governor,0.660217698985445,0.8383958280412365,0.62,0.8313795903429819
25,2022,House,0.6098709034236462,0.8018539976825029,0.56,0.7904513531443735
26,2017,Governor,0.5595788827411511,0.8686067898754998,0.59,0.8240047490974292
26,2018,US Senate,0.6939756305765276,0.8760052700520913,0.71,0.8602390375334327
26,2019,VA Senate,0.3504165884959701,1.0,0.37,0.9617854594466028
26,2020,President,0.6576636226261116,0.919263228450378,0.79,0.9267225408028231
26,2021,Governor,0.5647241001454876,0.8390752192666905,0.62,0.8313795903429819
26,2022,House,0.48545927576462977,0.80413555427915,0.56,0.7904513531443735
27,2017,Governor,0.6466965134547332,0.8363903514055325,0.59,0.8240047490974292
27,2018,US Senate,0.7991543922875874,0.8681562660838582,0.71,0.8602390375334327
27,2019,VA Senate,0.4289062065833248,1.0,0.37,0.9617854594466028
27,2020,President,0.8281316333842428,0.9313764203190621,0.79,0.9267225408028231
27,2021,Governor,0.6551927182083718,0.8432979600411686,0.62,0.8313795903429819
27,2022,House,0.5877914134794869,0.8043243243243243,0.56,0.7904513531443735
28,2017,Governor,0.5685986538329874,0.8534043143257188,0.59,0.8240047490974292
28,2018,US Senate,0.690091338238446,0.8900717115049311,0.71,0.8602390375334327
28,2019,VA Senate,0.3630737904670589,1.0,0.37,0.9617854594466028
28,2020,President,0.7055348731543566,0.9214527247541016,0.79,0.9267225408028231
28,2021,Governor,0.5564270501852174,0.850981935600414,0.62,0.8313795903429819
28,2022,House,0.4929116268413064,0.81941431670282,0.56,0.7904513531443735
29,2017,Governor,0.7213933342593839,0.8376063523656071,0.59,0.8240047490974292
29,2018,US Senate,0.8203845463652288,0.8680618166804648,0.71,0.8602390375334327
29,2019,VA Senate,0.5587520608507804,0.8458660244994548,0.37,0.9617854594466028
29,2020,President,1.0012259965290224,0.9405776348416006,0.79,0.9267225408028231
29,2021,Governor,0.7743937698583522,0.841946430703285,0.62,0.8313795903429819
29,2022,House,0.7241031815623814,0.8031376518218624,0.56,0.7904513531443735
30,2017,Governor,0.5064215662008544,0.8745098191977579,0.59,0.8240047490974292
30,2018,US Senate,0.6702465385824709,0.9006783288672907,0.71,0.8602390375334327
30,2019,VA Senate,0.330696869982802,1.0,0.37,0.9617854594466028
30,2020,President,0.6558231862514202,0.92930792427085,0.79,0.9267225408028231
30,2021,Governor,0.5143218265793198,0.8521858612731871,0.62,0.8313795903429819
30,2022,House,0.4742174033917153,0.8207485226526592,0.56,0.7904513531443735
31,2017,Governor,0.6865279333182897,0.8098098974069239,0.59,0.8240047490974292
31,2018,US Senate,0.8167065086926172,0.8549755949540274,0.71,0.8602390375334327
31,2019,VA Senate,0.5158154764728639,0.8585986935128731,0.37,0.9617854594466028
31,2020,President,0.8956929908650086,0.9345521786127198,0.79,0.9267225408028231
31,2021,Governor,0.7471957502324457,0.8345249866455088,0.62,0.8313795903429819
31,2022,House,0.686172801994227,0.798582995951417,0.56,0.7904513531443735
32,2017,Governor,0.5744395290081299,0.749961956058899,0.59,0.8240047490974292
32,2018,US Senate,0.7036342594644962,0.7995122619847945,0.71,0.8602390375334327
32,2019,VA Senate,0.3064795245712336,1.0,0.37,0.9617854594466028
32,2020,President,0.7326799655520914,0.8934771281424915,0.79,0.9267225408028231
32,2021,Governor,0.6100727883381557,0.7590176988819838,0.62,0.8313795903429819
32,2022,House,0.5522369963221921,0.7049180327868853,0.56,0.7904513531443735
33,2017,Governor,0.6975425521297177,0.766685479555914,0.59,0.8240047490974292
33,2018,US Senate,0.8027077790066625,0.8101551199040131,0.71,0.8602390375334327
33,2019,VA Senate,0.5342683066417296,0.7973189149142611,0.37,0.9617854594466028
33,2020,President,1.040921778149415,0.9255458939531008,0.79,0.9267225408028231
33,2021,Governor,0.7303976040060166,0.7871333664889506,0.62,0.8313795903429819
33,2022,House,0.70126071242944,0.7277992277992278,0.56,0.7904513531443735
34,2017,Governor,0.6922133834551497,0.8011679780942236,0.59,0.8240047490974292
34,2018,US Senate,0.7877723125442274,0.8485592127292796,0.71,0.8602390375334327
34,2019,VA Senate,0.4859577209309902,0.8307106736988005,0.37,0.9617854594466028
34,2020,President,0.9728395818959299,0.9250629905417118,0.79,0.9267225408028231
34,2021,Governor,0.7708285587476833,0.8104954716757726,0.62,0.8313795903429819
34,2022,House,0.704499258364006,0.7641921397379913,0.56,0.7904513531443735
35,2017,Governor,0.7021554867439515,0.7284302949128738,0.59,0.8240047490974292
35,2018,US Senate,0.8525829556148768,0.7762859800200967,0.71,0.8602390375334327
35,2019,VA Senate,0.39454107592327914,1.0,0.37,0.9617854594466028
35,2020,President,1.2018770002654169,0.949155394104453,0.79,0.9267225408028231
35,2021,Governor,0.7507782088974152,0.8033786198512083,0.62,0.8313795903429819
35,2022,House,0.7076690122027257,0.6770925110132159,0.56,0.7904513531443735
36,2017,Governor,0.6266654177838733,0.7991628912609393,0.59,0.8240047490974292
36,2018,US Senate,0.7529719120646119,0.8400401819554967,0.71,0.8602390375334327
36,2019,VA Senate,0.38692267160263677,1.0,0.37,0.9617854594466028
36,2020,President,0.9386280253093823,0.939288163902949,0.79,0.9267225408028231
36,2021,Governor,0.6728710954911951,0.8242435195714928,0.62,0.8313795903429819
36,2022,House,0.6407343862920444,0.7675988428158148,0.56,0.7904513531443735
37,2017,Governor,0.7099717866536017,0.7832547931384006,0.59,0.8240047490974292
37,2018,US Senate,0.8221740656409797,0.8303308178388122,0.71,0.8602390375334327
37,2019,VA Senate,0.5169991189353366,0.8260954112669437,0.37,0.9617854594466028
37,2020,President,0.9050995173416003,0.9148745665919124,0.79,0.9267225408028231
37,2021,Governor,0.7560382193723001,0.7991808050407776,0.62,0.8313795903429819
37,2022,House,0.7168673218241889,0.7745474492594624,0.56,0.7904513531443735
38,2017,Governor,0.5056737663773986,0.8785755756495917,0.59,0.8240047490974292
38,2018,US Senate,0.6488965721328985,0.90067552373177,0.71,0.8602390375334327
38,2019,VA Senate,0.31548453671239735,1.0,0.37,0.9617854594466028
38,2020,President,0.660163060543198,0.9277090827425759,0.79,0.9267225408028231
38,2021,Governor,0.49671099916171096,0.8588233504866682,0.62,0.8313795903429819
38,2022,House,0.42575302427539174,0.8466819221967964,0.56,0.7904513531443735
39,2017,Governor,0.6691238874578982,0.8102485614075361,0.59,0.8240047490974292
39,2018,US Senate,0.7364382078207471,0.8548688983997079,0.71,0.8602390375334327
39,2019,VA Senate,0.47173695032472474,0.874906631261975,0.37,0.9617854594466028
39,2020,President,0.8553606090222166,0.9005442521519392,0.79,0.9267225408028231
39,2021,Governor,0.6916547000020276,0.8375002262134772,0.62,0.8313795903429819
39,2022,House,0.6343381389252949,0.8172635445362718,0.56,0.7904513531443735
40,2017,Governor,0.5318284099719818,0.8256092504165361,0.59,0.8240047490974292
40,2018,US Senate,0.6852663243194893,0.8567447600732458,0.71,0.8602390375334327
40,2019,VA Senate,0.30210053221636246,1.0,0.37,0.9617854594466028
40,2020,President,0.7381508056915675,0.9202312238430049,0.79,0.9267225408028231
40,2021,Governor,0.5902975575660715,0.8214429195040623,0.62,0.8313795903429819
40,2022,House,0.5509162872634926,0.7832558139534884,0.56,0.7904513531443735
41,2017,Governor,0.496736235581733,0.8594158031652182,0.59,0.8240047490974292
41,2018,US Senate,0.6624335566290807,0.8885239608707947,0.71,0.8602390375334327
41,2019,VA Senate,0.30448407236140296,1.0,0.37,0.9617854594466028
41,2020,President,0.8810929350216452,0.9590604191118,0.79,0.9267225408028231
41,2021,Governor,0.570134554371593,0.8772602200434726,0.62,0.8313795903429819
41,2022,House,0.5136103171197142,0.809299587992937,0.56,0.7904513531443735
42,2017,Governor,0.5838157744497965,0.8491282720169934,0.59,0.8240047490974292
42,2018,US Senate,0.6953810210415956,0.8856348017209393,0.71,0.8602390375334327
42,2019,VA Senate,0.3377690464675325,1.0,0.37,0.9617854594466028
42,2020,President,0.6914551794657907,0.924256934624255,0.79,0.9267225408028231
42,2021,Governor,0.558160004337375,0.852867935232225,0.62,0.8313795903429819
42,2022,House,0.4956972650491667,0.829153605015674,0.56,0.7904513531443735
43,2017,Governor,0.4356817069626557,0.8971181410514298,0.59,0.8240047490974292
43,2018,US Senate,0.5914720922712531,0.9103768978164333,0.71,0.8602390375334327
43,2019,VA Senate,0.26078009526450735,1.0,0.37,0.9617854594466028
43,2020,President,0.5046513738850311,0.8810807098252306,0.79,0.9267225408028231
43,2021,Governor,0.40918623166693,0.8328670907155429,0.62,0.8313795903429819
43,2022,House,0.3498113997604314,0.8032967032967033,0.56,0.7904513531443735
44,2017,Governor,0.5433585884981995,0.8745639605467084,0.59,0.8240047490974292
44,2018,US Senate,0.6703754288423277,0.8860255011788055,0.71,0.8602390375334327
44,2019,VA Senate,0.3218583273977754,1.0,0.37,0.9617854594466028
44,2020,President,0.7209826466939638,0.9247082077355302,0.79,0.9267225408028231
44,2021,Governor,0.5695110205855345,0.8617800042616736,0.62,0.8313795903429819
44,2022,House,0.5012408797203736,0.8168193172356369,0.56,0.7904513531443735
45,2017,Governor,0.5091655796930696,0.8535895123145162,0.59,0.8240047490974292
45,2018,US Senate,0.6433520701342851,0.8841431787927162,0.71,0.8602390375334327
45,2019,VA Senate,0.3156004482398967,1.0,0.37,0.9617854594466028
45,2020,President,0.6927102826076089,0.9139933696372106,0.79,0.9267225408028231
45,2021,Governor,0.5373033827369246,0.8300063238463137,0.62,0.8313795903429819
45,2022,House,0.46575021250403026,0.8061674008810573,0.56,0.7904513531443735
